P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Chris Sale (43212282),Chris Sale,43212282,P,10500,TOR@ATL 06/04/2026 07:15PM ET,ATL,24.67
,,,,,,,,,,,SP,Tyler Glasnow (43212514),Tyler Glasnow,43212514,P,10200,LAD@ARI 06/04/2026 09:40PM ET,LAD,22.21
,,,,,,,,,,,SP,Dylan Cease (43212517),Dylan Cease,43212517,P,10000,TOR@ATL 06/04/2026 07:15PM ET,TOR,22.43
,,,,,,,,,,,SP,Paul Skenes (43212515),Paul Skenes,43212515,P,10000,PIT@HOU 06/04/2026 08:10PM ET,PIT,19.55
,,,,,,,,,,,SP,Hunter Brown (43212516),Hunter Brown,43212516,P,10000,PIT@HOU 06/04/2026 08:10PM ET,HOU,26.7
,,,,,,,,,,,SP,Yoshinobu Yamamoto (43212518),Yoshinobu Yamamoto,43212518,P,9700,LAD@ARI 06/04/2026 09:40PM ET,LAD,20.62
,,,,,,,,,,,RP,Spencer Strider (43212519),Spencer Strider,43212519,P,9500,TOR@ATL 06/04/2026 07:15PM ET,ATL,18.72
,,,,,,,,,,,SP,Spencer Schwellenbach (43212520),Spencer Schwellenbach,43212520,P,9500,TOR@ATL 06/04/2026 07:15PM ET,ATL,0
,,,,,,,,,,,SP,Corbin Burnes (43212521),Corbin Burnes,43212521,P,9200,LAD@ARI 06/04/2026 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Blake Snell (43212522),Blake Snell,43212522,P,9200,LAD@ARI 06/04/2026 09:40PM ET,LAD,3.95
,,,,,,,,,,,SP,Trey Yesavage (43212283),Trey Yesavage,43212283,P,9000,TOR@ATL 06/04/2026 07:15PM ET,TOR,17.84
,,,,,,,,,,,SP,Kevin Gausman (43212527),Kevin Gausman,43212527,P,9000,TOR@ATL 06/04/2026 07:15PM ET,TOR,17.26
,,,,,,,,,,,SP,Joe Ryan (43212524),Joe Ryan,43212524,P,9000,KC@MIN 06/04/2026 07:40PM ET,MIN,18.34
,,,,,,,,,,,SP,Taj Bradley (43212525),Taj Bradley,43212525,P,9000,KC@MIN 06/04/2026 07:40PM ET,MIN,18.12
,,,,,,,,,,,SP,Pablo Lopez (43212526),Pablo Lopez,43212526,P,9000,KC@MIN 06/04/2026 07:40PM ET,MIN,0
,,,,,,,,,,,SP,Spencer Arrighetti (43212523),Spencer Arrighetti,43212523,P,9000,PIT@HOU 06/04/2026 08:10PM ET,HOU,19.04
,,,,,,,,,,,SP,Cole Ragans (43212528),Cole Ragans,43212528,P,8900,KC@MIN 06/04/2026 07:40PM ET,KC,13.19
,,,,,,,,,,,SP,Kris Bubic (43212529),Kris Bubic,43212529,P,8900,KC@MIN 06/04/2026 07:40PM ET,KC,15.94
,,,,,,,,,,,RP,AJ Smith-Shawver (43212531),AJ Smith-Shawver,43212531,P,8500,TOR@ATL 06/04/2026 07:15PM ET,ATL,0
,,,,,,,,,,,SP,Hurston Waldrep (43212532),Hurston Waldrep,43212532,P,8500,TOR@ATL 06/04/2026 07:15PM ET,ATL,0
,,,,,,,,,,,SP,Bryce Elder (43212533),Bryce Elder,43212533,P,8500,TOR@ATL 06/04/2026 07:15PM ET,ATL,17.91
