SlateID,Site,ContestType,LineupNum,AvgProfit,AvgPayout,ROI,WinRate,Top10Rate,ITMRate,AvgRank,MedianRank,BestRank,WorstRank
25439,draftkings,classic,1882,-1.18,18.82,-5.91,0,0.06,13.41,2766.9,2844,3,5001
25439,draftkings,classic,1031,-1.18,18.82,-5.92,0,0.02,17.47,2337.9,2281,8,4994
25439,draftkings,classic,1391,-1.18,18.82,-5.92,0,0.02,17.86,2397.8,2346,7,4996
25439,draftkings,classic,617,-1.28,18.72,-6.42,0.01,0.03,14.37,2614.4,2667,1,4994
25439,draftkings,classic,4127,-1.3,18.7,-6.48,0,0.01,18.66,2200.7,2133,9,4982
25439,draftkings,classic,301,-1.32,18.68,-6.61,0,0.03,17.49,2359.5,2310,7,4980
25439,draftkings,classic,2921,-1.33,18.67,-6.65,0,0.02,16.78,2330.4,2281,6,4999
25439,draftkings,classic,1459,-1.34,18.66,-6.68,0,0.03,16.71,2467.6,2468,4,4999
25439,draftkings,classic,4844,-1.34,18.66,-6.72,0,0.01,16.2,2572.4,2582,2,4997
25439,draftkings,classic,2952,-1.34,18.66,-6.68,0.01,0.02,14.14,2755.9,2874,1,4999
25439,draftkings,classic,4483,-1.35,18.65,-6.73,0,0.05,16.22,2587.8,2631,6,4997
25439,draftkings,classic,1189,-1.36,18.64,-6.79,0,0,19.28,2218.2,2134,12,4992
25439,draftkings,classic,2346,-1.37,18.63,-6.86,0,0.01,18.42,2218.8,2159,9,4955
25439,draftkings,classic,717,-1.38,18.62,-6.91,0,0.06,14.97,2490.4,2483,3,5001
25439,draftkings,classic,2518,-1.38,18.62,-6.92,0,0.03,15.26,2500.9,2507,2,5001
25439,draftkings,classic,4890,-1.4,18.6,-6.98,0,0.01,16.25,2616.4,2636,8,5001
25439,draftkings,classic,4746,-1.4,18.6,-7.02,0,0.01,17.33,2455.4,2430,7,4998
25439,draftkings,classic,4582,-1.4,18.6,-7,0,0.04,14.46,2576,2616,2,4995
25439,draftkings,classic,97,-1.41,18.59,-7.03,0,0.03,16.13,2620.7,2636,6,5001
25439,draftkings,classic,100,-1.45,18.55,-7.24,0,0.02,14.83,2672.7,2727,3,5001
25439,draftkings,classic,3203,-1.51,18.49,-7.54,0,0,17.59,2340.2,2293,12,4993
25439,draftkings,classic,2365,-1.53,18.47,-7.64,0,0,17.73,2325.5,2257,14,4992
25439,draftkings,classic,1467,-1.58,18.42,-7.89,0,0.05,12.76,2774.7,2874,2,5001
25439,draftkings,classic,315,-1.6,18.4,-8.02,0,0,17.3,2518,2503,12,5001
25439,draftkings,classic,932,-1.6,18.4,-8.01,0.01,0.01,15.68,2428,2394,1,4989
25439,draftkings,classic,3037,-1.6,18.4,-8.02,0.01,0.02,14.09,2657.3,2709,1,4997
25439,draftkings,classic,3686,-1.61,18.39,-8.04,0,0,18.02,2287.8,2224,18,4995
25439,draftkings,classic,1438,-1.63,18.37,-8.14,0,0.01,18.45,2210.4,2136,9,4986
25439,draftkings,classic,847,-1.63,18.37,-8.17,0,0.03,17.46,2294.6,2222,7,4982
25439,draftkings,classic,3484,-1.64,18.36,-8.22,0,0.01,17.65,2554.6,2542,6,4997
25439,draftkings,classic,4726,-1.64,18.36,-8.22,0,0.01,17.6,2329.3,2281,4,4987
25439,draftkings,classic,1880,-1.65,18.35,-8.25,0,0,19.21,2260.6,2166,11,4996
25439,draftkings,classic,2844,-1.66,18.34,-8.29,0,0.04,14.83,2563.5,2581,3,5001
25439,draftkings,classic,3009,-1.68,18.32,-8.41,0,0.02,15.28,2648.6,2701,5,5000
25439,draftkings,classic,483,-1.71,18.29,-8.56,0,0.01,15.58,2451.6,2440,2,4992
25439,draftkings,classic,723,-1.75,18.25,-8.77,0,0.01,17.67,2270.4,2205,6,4988
25439,draftkings,classic,2399,-1.78,18.22,-8.88,0,0.01,17.03,2353.5,2300,3,4987
25439,draftkings,classic,561,-1.82,18.18,-9.08,0.01,0.01,14.87,2490.8,2484,1,4999
25439,draftkings,classic,2315,-1.83,18.17,-9.16,0,0.03,14.96,2766.6,2872,4,5001
25439,draftkings,classic,2961,-1.83,18.17,-9.13,0,0,18.39,2465.2,2384,20,4996
25439,draftkings,classic,343,-1.84,18.16,-9.18,0,0.04,15.79,2522.1,2531,4,4996
25439,draftkings,classic,3440,-1.84,18.16,-9.2,0,0.05,15.74,2385.1,2351,3,4993
25439,draftkings,classic,3423,-1.84,18.16,-9.22,0,0.04,15.21,2616.7,2654,4,4999
25439,draftkings,classic,3952,-1.85,18.15,-9.25,0,0.03,16.43,2374.6,2319,4,4997
25439,draftkings,classic,3502,-1.86,18.14,-9.28,0,0.02,16.08,2505.1,2507,9,4998
25439,draftkings,classic,2156,-1.87,18.13,-9.34,0,0.03,15.48,2507.7,2516,3,5001
25439,draftkings,classic,4477,-1.9,18.1,-9.52,0,0.02,17.9,2238.3,2185,8,4984
25439,draftkings,classic,2492,-1.91,18.09,-9.54,0,0.01,17.79,2499.3,2454,6,5000
25439,draftkings,classic,1419,-1.91,18.09,-9.53,0,0.01,16.92,2412,2369,6,4989
25439,draftkings,classic,3381,-1.93,18.07,-9.67,0,0.01,17.62,2318.3,2282,6,4969
25439,draftkings,classic,334,-1.95,18.05,-9.76,0,0.02,16.28,2390.7,2342,3,4995
25439,draftkings,classic,1371,-1.95,18.05,-9.73,0,0.02,16.3,2406.3,2359,4,4993
25439,draftkings,classic,424,-1.96,18.04,-9.81,0,0.05,14.43,2617.7,2684,2,5001
25439,draftkings,classic,686,-1.99,18.01,-9.95,0,0.01,17.7,2198.8,2110,4,4966
25439,draftkings,classic,1970,-2,18,-10.01,0,0,18.54,2261.1,2150,33,4995
25439,draftkings,classic,3734,-2.02,17.98,-10.12,0,0,17.71,2321.3,2243,11,4995
25439,draftkings,classic,2236,-2.02,17.98,-10.08,0,0.01,16,2414.1,2398,4,4995
25439,draftkings,classic,3676,-2.02,17.98,-10.1,0,0.01,17.45,2329.4,2281,9,4990
25439,draftkings,classic,4659,-2.03,17.97,-10.17,0,0.02,17.01,2455.3,2437,8,4994
25439,draftkings,classic,4847,-2.03,17.97,-10.16,0.01,0.08,12.81,2751.5,2833,1,5000
25439,draftkings,classic,2284,-2.07,17.93,-10.36,0,0,18.11,2361.7,2330,15,4998
25439,draftkings,classic,776,-2.12,17.88,-10.6,0,0.03,16.81,2421.4,2387,7,4993
25439,draftkings,classic,2544,-2.12,17.88,-10.59,0,0.01,16.51,2323.6,2276,4,4986
25439,draftkings,classic,1455,-2.13,17.87,-10.63,0,0.05,14.77,2672.7,2725,6,5000
25439,draftkings,classic,3594,-2.15,17.85,-10.73,0,0.01,17.54,2408.6,2335,8,4999
25439,draftkings,classic,4369,-2.15,17.85,-10.76,0,0.01,17.24,2356.9,2279,9,4982
25439,draftkings,classic,4303,-2.16,17.84,-10.82,0,0,17.87,2307,2226,13,4993
25439,draftkings,classic,3578,-2.18,17.82,-10.91,0,0.04,15.35,2577.4,2599,5,5001
25439,draftkings,classic,2712,-2.19,17.81,-10.96,0.01,0.03,12.62,2843.8,2957,1,4999
25439,draftkings,classic,3958,-2.19,17.81,-10.96,0,0,17.88,2240.4,2155,22,4981
25439,draftkings,classic,4862,-2.2,17.8,-11.01,0,0.02,15.8,2467.8,2448,6,5000
25439,draftkings,classic,2966,-2.2,17.8,-11,0.01,0.01,14.85,2463.3,2454,1,5001
25439,draftkings,classic,4685,-2.21,17.79,-11.04,0,0.03,16.31,2419.7,2380,6,4997
25439,draftkings,classic,1219,-2.25,17.75,-11.27,0,0.02,14.58,2810.9,2919,2,5001
25439,draftkings,classic,3419,-2.26,17.74,-11.28,0,0.01,16.31,2416.2,2358,3,4998
25439,draftkings,classic,1206,-2.29,17.71,-11.43,0.01,0.01,15.02,2483.8,2465,1,4996
25439,draftkings,classic,2207,-2.3,17.7,-11.5,0,0.04,15.74,2466,2443,7,4994
25439,draftkings,classic,2933,-2.32,17.68,-11.61,0,0.05,13.08,2619.1,2656,3,4999
25439,draftkings,classic,2574,-2.32,17.68,-11.61,0,0.02,15.23,2511.6,2518,3,4996
25439,draftkings,classic,2930,-2.33,17.67,-11.64,0,0,17.96,2283.7,2196,13,4991
25439,draftkings,classic,3773,-2.35,17.65,-11.75,0,0.01,17.07,2482.8,2477,9,5001
25439,draftkings,classic,1076,-2.35,17.65,-11.74,0,0,16.99,2481.9,2474,12,5001
25439,draftkings,classic,3807,-2.36,17.64,-11.82,0,0.02,15.44,2521.1,2537,4,4996
25439,draftkings,classic,274,-2.39,17.61,-11.94,0,0.02,16.09,2408.5,2391,4,4991
25439,draftkings,classic,1272,-2.41,17.59,-12.04,0,0,17.04,2568.3,2551,12,5000
25439,draftkings,classic,2293,-2.43,17.57,-12.15,0,0.02,15.86,2446.7,2422,4,4998
25439,draftkings,classic,853,-2.43,17.57,-12.17,0,0.01,16.25,2398.4,2347,3,4996
25439,draftkings,classic,1709,-2.44,17.56,-12.22,0,0.03,15.4,2577.7,2595,4,4998
25439,draftkings,classic,803,-2.44,17.56,-12.18,0,0.01,17.88,2169.6,2098,6,4989
25439,draftkings,classic,309,-2.44,17.56,-12.18,0,0.03,15.47,2660,2693,6,5001
25439,draftkings,classic,1724,-2.46,17.54,-12.3,0,0.01,16.33,2545.4,2547,9,4999
25439,draftkings,classic,601,-2.48,17.52,-12.39,0,0,16.97,2365.8,2326,11,4997
25439,draftkings,classic,4289,-2.49,17.51,-12.46,0,0.02,16.13,2565.5,2566,4,5000
25439,draftkings,classic,1,-2.51,17.49,-12.55,0,0.01,17.38,2392,2318,5,4995
25439,draftkings,classic,852,-2.53,17.47,-12.63,0,0.04,12.7,2883,2997,2,5001
25439,draftkings,classic,2435,-2.53,17.47,-12.65,0,0,17.52,2412.1,2360,19,5000
25439,draftkings,classic,2010,-2.55,17.45,-12.73,0,0.03,14.77,2455.4,2451,3,5000
25439,draftkings,classic,4675,-2.55,17.45,-12.73,0,0.01,16.61,2453,2421,7,5000
25439,draftkings,classic,3910,-2.56,17.44,-12.81,0,0.01,16.39,2374.2,2340,9,4991
25439,draftkings,classic,1203,-2.57,17.43,-12.84,0,0.03,15.25,2570.2,2583,5,5000
25439,draftkings,classic,1815,-2.59,17.41,-12.93,0,0,16.85,2504.8,2496,16,4997
25439,draftkings,classic,437,-2.6,17.4,-13.02,0,0.05,14.64,2464.4,2474,4,4992
25439,draftkings,classic,1396,-2.6,17.4,-12.99,0,0.01,15.94,2545,2559,9,4995
25439,draftkings,classic,528,-2.61,17.39,-13.05,0,0.02,16.14,2395.9,2358,8,5001
25439,draftkings,classic,3558,-2.63,17.37,-13.17,0,0.05,13.28,2752.7,2839,2,5001
25439,draftkings,classic,3172,-2.64,17.36,-13.23,0,0.01,16.39,2502.2,2501,9,5001
25439,draftkings,classic,469,-2.66,17.34,-13.3,0,0.01,16.68,2309.6,2271,5,4969
