P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Jacob Misiorowski (43197560),Jacob Misiorowski,43197560,P,12000,SF@MIL 06/02/2026 07:40PM ET,MIL,28.05
,,,,,,,,,,,SP,Cam Schlittler (43197042),Cam Schlittler,43197042,P,10500,CLE@NYY 06/02/2026 07:05PM ET,NYY,24.28
,,,,,,,,,,,SP,Tyler Glasnow (43197561),Tyler Glasnow,43197561,P,10300,LAD@ARI 06/02/2026 09:40PM ET,LAD,22.21
,,,,,,,,,,,RP,Spencer Strider (43197562),Spencer Strider,43197562,P,10300,TOR@ATL 06/02/2026 07:15PM ET,ATL,18.72
,,,,,,,,,,,SP,Chris Sale (43197563),Chris Sale,43197563,P,10300,TOR@ATL 06/02/2026 07:15PM ET,ATL,24.67
,,,,,,,,,,,SP,Chase Burns (43197564),Chase Burns,43197564,P,10300,KC@CIN 06/02/2026 07:10PM ET,CIN,22.87
,,,,,,,,,,,SP,Kyle Harrison (43197043),Kyle Harrison,43197043,P,10200,SF@MIL 06/02/2026 07:40PM ET,MIL,21.06
,,,,,,,,,,,SP,Logan Henderson (43197565),Logan Henderson,43197565,P,10200,SF@MIL 06/02/2026 07:40PM ET,MIL,18.27
,,,,,,,,,,,SP,Paul Skenes (43197566),Paul Skenes,43197566,P,10100,PIT@HOU 06/02/2026 08:10PM ET,PIT,20.03
,,,,,,,,,,,SP,Yoshinobu Yamamoto (43197567),Yoshinobu Yamamoto,43197567,P,9800,LAD@ARI 06/02/2026 09:40PM ET,LAD,20.62
,,,,,,,,,,,SP,Trey Yesavage (43197569),Trey Yesavage,43197569,P,9700,TOR@ATL 06/02/2026 07:15PM ET,TOR,17.84
,,,,,,,,,,,SP,Dylan Cease (43197570),Dylan Cease,43197570,P,9700,TOR@ATL 06/02/2026 07:15PM ET,TOR,22.43
,,,,,,,,,,,SP,Davis Martin (43197044),Davis Martin,43197044,P,9700,CWS@MIN 06/02/2026 07:40PM ET,CWS,23.11
,,,,,,,,,,,SP,Hunter Brown (43197568),Hunter Brown,43197568,P,9700,PIT@HOU 06/02/2026 08:10PM ET,HOU,26.7
,,,,,,,,,,,SP,Jose Soriano (43197571),Jose Soriano,43197571,P,9500,COL@LAA 06/02/2026 09:38PM ET,LAA,20.15
,,,,,,,,,,,SP,Nathan Eovaldi (43197045),Nathan Eovaldi,43197045,P,9500,TEX@STL 06/02/2026 07:45PM ET,TEX,18.17
,,,,,,,,,,,SP,Jacob deGrom (43197573),Jacob deGrom,43197573,P,9500,TEX@STL 06/02/2026 07:45PM ET,TEX,19.04
,,,,,,,,,,,RP,Ryan Weathers (43197572),Ryan Weathers,43197572,P,9500,CLE@NYY 06/02/2026 07:05PM ET,NYY,18.93
,,,,,,,,,,,SP,Spencer Schwellenbach (43197574),Spencer Schwellenbach,43197574,P,9200,TOR@ATL 06/02/2026 07:15PM ET,ATL,0
,,,,,,,,,,,SP,Corbin Burnes (43197579),Corbin Burnes,43197579,P,9000,LAD@ARI 06/02/2026 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Taj Bradley (43197576),Taj Bradley,43197576,P,9000,CWS@MIN 06/02/2026 07:40PM ET,MIN,19.4
,,,,,,,,,,,SP,Joe Ryan (43197580),Joe Ryan,43197580,P,9000,CWS@MIN 06/02/2026 07:40PM ET,MIN,18.34
,,,,,,,,,,,SP,Pablo Lopez (43197581),Pablo Lopez,43197581,P,9000,CWS@MIN 06/02/2026 07:40PM ET,MIN,0
,,,,,,,,,,,SP,Logan Gilbert (43197046),Logan Gilbert,43197046,P,9000,NYM@SEA 06/02/2026 09:40PM ET,SEA,16.70
,,,,,,,,,,,SP,Bryan Woo (43197577),Bryan Woo,43197577,P,9000,NYM@SEA 06/02/2026 09:40PM ET,SEA,18.25
,,,,,,,,,,,SP,George Kirby (43197578),George Kirby,43197578,P,9000,NYM@SEA 06/02/2026 09:40PM ET,SEA,15.82
,,,,,,,,,,,SP,Max Fried (43197575),Max Fried,43197575,P,9000,CLE@NYY 06/02/2026 07:05PM ET,NYY,17.24
,,,,,,,,,,,SP,Gerrit Cole (43197582),Gerrit Cole,43197582,P,9000,CLE@NYY 06/02/2026 07:05PM ET,NYY,25.55
,,,,,,,,,,,SP,Blake Snell (43197583),Blake Snell,43197583,P,8800,LAD@ARI 06/02/2026 09:40PM ET,LAD,3.95
,,,,,,,,,,,SP,Kevin Gausman (43197047),Kevin Gausman,43197047,P,8700,TOR@ATL 06/02/2026 07:15PM ET,TOR,17.25
,,,,,,,,,,,RP,Braxton Ashcraft (43197584),Braxton Ashcraft,43197584,P,8700,PIT@HOU 06/02/2026 08:10PM ET,PIT,21.23
,,,,,,,,,,,SP,Spencer Arrighetti (43197585),Spencer Arrighetti,43197585,P,8700,PIT@HOU 06/02/2026 08:10PM ET,HOU,21.14
,,,,,,,,,,,SP,Robbie Ray (43197586),Robbie Ray,43197586,P,8700,SF@MIL 06/02/2026 07:40PM ET,SF,13.02
,,,,,,,,,,,RP,Landen Roupp (43197587),Landen Roupp,43197587,P,8700,SF@MIL 06/02/2026 07:40PM ET,SF,16.37
,,,,,,,,,,,SP,Logan Webb (43197588),Logan Webb,43197588,P,8700,SF@MIL 06/02/2026 07:40PM ET,SF,12.84
,,,,,,,,,,,SP,Shota Imanaga (43197589),Shota Imanaga,43197589,P,8600,ATH@CHC 06/02/2026 08:05PM ET,CHC,16.22
,,,,,,,,,,,SP,Justin Steele (43197590),Justin Steele,43197590,P,8600,ATH@CHC 06/02/2026 08:05PM ET,CHC,0
,,,,,,,,,,,SP,Nolan McLean (43197591),Nolan McLean,43197591,P,8500,NYM@SEA 06/02/2026 09:40PM ET,NYM,17.00
,,,,,,,,,,,SP,Freddy Peralta (43197592),Freddy Peralta,43197592,P,8500,NYM@SEA 06/02/2026 09:40PM ET,NYM,15.98
,,,,,,,,,,,RP,Clay Holmes (43197593),Clay Holmes,43197593,P,8500,NYM@SEA 06/02/2026 09:40PM ET,NYM,17.9
,,,,,,,,,,,SP,MacKenzie Gore (43197596),MacKenzie Gore,43197596,P,8500,TEX@STL 06/02/2026 07:45PM ET,TEX,15.42
,,,,,,,,,,,SP,Gavin Williams (43197594),Gavin Williams,43197594,P,8500,CLE@NYY 06/02/2026 07:05PM ET,CLE,23.11
,,,,,,,,,,,SP,Parker Messick (43197595),Parker Messick,43197595,P,8500,CLE@NYY 06/02/2026 07:05PM ET,CLE,20.75
,,,,,,,,,,,SP,Hunter Greene (43197597),Hunter Greene,43197597,P,8300,KC@CIN 06/02/2026 07:10PM ET,CIN,0
,,,,,,,,,,,SP,Cole Ragans (43197598),Cole Ragans,43197598,P,8300,KC@CIN 06/02/2026 07:10PM ET,KC,13.19
,,,,,,,,,,,SP,Kris Bubic (43197599),Kris Bubic,43197599,P,8300,KC@CIN 06/02/2026 07:10PM ET,KC,15.94
,,,,,,,,,,,SP,Michael Wacha (43197600),Michael Wacha,43197600,P,8300,KC@CIN 06/02/2026 07:10PM ET,KC,17.44
,,,,,,,,,,,RP,Stephen Kolek (43197601),Stephen Kolek,43197601,P,8300,KC@CIN 06/02/2026 07:10PM ET,KC,16.55
,,,,,,,,,,,SP,Bryce Elder (43197048),Bryce Elder,43197048,P,8200,TOR@ATL 06/02/2026 07:15PM ET,ATL,17.67
,,,,,,,,,,,RP,AJ Smith-Shawver (43197602),AJ Smith-Shawver,43197602,P,8200,TOR@ATL 06/02/2026 07:15PM ET,ATL,0
,,,,,,,,,,,RP,Grant Holmes (43197603),Grant Holmes,43197603,P,8200,TOR@ATL 06/02/2026 07:15PM ET,ATL,13.70
,,,,,,,,,,,SP,Hurston Waldrep (43197604),Hurston Waldrep,43197604,P,8200,TOR@ATL 06/02/2026 07:15PM ET,ATL,0
,,,,,,,,,,,RP,David Sandlin (43197609),David Sandlin,43197609,P,8200,CWS@MIN 06/02/2026 07:40PM ET,CWS,8.35
,,,,,,,,,,,SP,Ronel Blanco (43197606),Ronel Blanco,43197606,P,8200,PIT@HOU 06/02/2026 08:10PM ET,HOU,0
,,,,,,,,,,,SP,Jared Jones (43197608),Jared Jones,43197608,P,8200,PIT@HOU 06/02/2026 08:10PM ET,PIT,6.35
,,,,,,,,,,,SP,Brandon Woodruff (43197605),Brandon Woodruff,43197605,P,8200,SF@MIL 06/02/2026 07:40PM ET,MIL,13.72
,,,,,,,,,,,SP,Chad Patrick (43197607),Chad Patrick,43197607,P,8200,SF@MIL 06/02/2026 07:40PM ET,MIL,8.89
,,,,,,,,,,,SP,Ryne Nelson (43197620),Ryne Nelson,43197620,P,8000,LAD@ARI 06/02/2026 09:40PM ET,ARI,11.75
,,,,,,,,,,,SP,Merrill Kelly (43197621),Merrill Kelly,43197621,P,8000,LAD@ARI 06/02/2026 09:40PM ET,ARI,11.23
,,,,,,,,,,,SP,Eduardo Rodriguez (43197622),Eduardo Rodriguez,43197622,P,8000,LAD@ARI 06/02/2026 09:40PM ET,ARI,16.60
,,,,,,,,,,,SP,Zebby Matthews (43197617),Zebby Matthews,43197617,P,8000,CWS@MIN 06/02/2026 07:40PM ET,MIN,16.22
,,,,,,,,,,,SP,Mick Abel (43197619),Mick Abel,43197619,P,8000,CWS@MIN 06/02/2026 07:40PM ET,MIN,14.19
,,,,,,,,,,,SP,Bryce Miller (43197613),Bryce Miller,43197613,P,8000,NYM@SEA 06/02/2026 09:40PM ET,SEA,18.11
,,,,,,,,,,,SP,Emerson Hancock (43197614),Emerson Hancock,43197614,P,8000,NYM@SEA 06/02/2026 09:40PM ET,SEA,19.08
,,,,,,,,,,,RP,Jacob Latz (43197612),Jacob Latz,43197612,P,8000,TEX@STL 06/02/2026 07:45PM ET,TEX,4.32
,,,,,,,,,,,SP,Jack Leiter (43197616),Jack Leiter,43197616,P,8000,TEX@STL 06/02/2026 07:45PM ET,TEX,15.89
,,,,,,,,,,,RP,J.T. Ginn (43197615),J.T. Ginn,43197615,P,8000,ATH@CHC 06/02/2026 08:05PM ET,ATH,13.24
,,,,,,,,,,,SP,Carlos Rodon (43197610),Carlos Rodon,43197610,P,8000,CLE@NYY 06/02/2026 07:05PM ET,NYY,14.29
,,,,,,,,,,,SP,Will Warren (43197611),Will Warren,43197611,P,8000,CLE@NYY 06/02/2026 07:05PM ET,NYY,18.33
,,,,,,,,,,,SP,Clarke Schmidt (43197618),Clarke Schmidt,43197618,P,8000,CLE@NYY 06/02/2026 07:05PM ET,NYY,0
,,,,,,,,,,,SP,Michael Soroka (43197049),Michael Soroka,43197049,P,7800,LAD@ARI 06/02/2026 09:40PM ET,ARI,17.73
,,,,,,,,,,,SP,Emmet Sheehan (43197623),Emmet Sheehan,43197623,P,7800,LAD@ARI 06/02/2026 09:40PM ET,LAD,15.14
,,,,,,,,,,,SP,Roki Sasaki (43197624),Roki Sasaki,43197624,P,7800,LAD@ARI 06/02/2026 09:40PM ET,LAD,13.10
,,,,,,,,,,,SP,Justin Wrobleski (43197625),Justin Wrobleski,43197625,P,7800,LAD@ARI 06/02/2026 09:40PM ET,LAD,17
,,,,,,,,,,,RP,Seth Lugo (43197626),Seth Lugo,43197626,P,7800,KC@CIN 06/02/2026 07:10PM ET,KC,14.46
,,,,,,,,,,,SP,Jose Berrios (43197628),Jose Berrios,43197628,P,7700,TOR@ATL 06/02/2026 07:15PM ET,TOR,0
,,,,,,,,,,,SP,Shane Bieber (43197629),Shane Bieber,43197629,P,7700,TOR@ATL 06/02/2026 07:15PM ET,TOR,0
,,,,,,,,,,,SP,Peter Lambert (43197627),Peter Lambert,43197627,P,7700,PIT@HOU 06/02/2026 08:10PM ET,HOU,16.32
,,,,,,,,,,,SP,Trevor McDonald (43197050),Trevor McDonald,43197050,P,7700,SF@MIL 06/02/2026 07:40PM ET,SF,15.53
,,,,,,,,,,,SP,Edward Cabrera (43197630),Edward Cabrera,43197630,P,7600,ATH@CHC 06/02/2026 08:05PM ET,CHC,13.51
,,,,,,,,,,,SP,Cade Horton (43197631),Cade Horton,43197631,P,7600,ATH@CHC 06/02/2026 08:05PM ET,CHC,10.45
,,,,,,,,,,,RP,Ben Brown (43197632),Ben Brown,43197632,P,7600,ATH@CHC 06/02/2026 08:05PM ET,CHC,10.52
,,,,,,,,,,,SP,Matthew Boyd (43197633),Matthew Boyd,43197633,P,7600,ATH@CHC 06/02/2026 08:05PM ET,CHC,14.68
,,,,,,,,,,,SP,Kodai Senga (43197634),Kodai Senga,43197634,P,7500,NYM@SEA 06/02/2026 09:40PM ET,NYM,5.4
,,,,,,,,,,,SP,Tylor Megill (43197635),Tylor Megill,43197635,P,7500,NYM@SEA 06/02/2026 09:40PM ET,NYM,0
,,,,,,,,,,,SP,Reid Detmers (43197638),Reid Detmers,43197638,P,7500,COL@LAA 06/02/2026 09:38PM ET,LAA,16.83
,,,,,,,,,,,RP,Walbert Urena (43197639),Walbert Urena,43197639,P,7500,COL@LAA 06/02/2026 09:38PM ET,LAA,12.80
,,,,,,,,,,,SP,Joey Cantillo (43197051),Joey Cantillo,43197051,P,7500,CLE@NYY 06/02/2026 07:05PM ET,CLE,12.78
,,,,,,,,,,,SP,Tanner Bibee (43197636),Tanner Bibee,43197636,P,7500,CLE@NYY 06/02/2026 07:05PM ET,CLE,11.59
,,,,,,,,,,,SP,Slade Cecconi (43197637),Slade Cecconi,43197637,P,7500,CLE@NYY 06/02/2026 07:05PM ET,CLE,10.15
,,,,,,,,,,,SP,Logan Allen (43197640),Logan Allen,43197640,P,7500,CLE@NYY 06/02/2026 07:05PM ET,CLE,19.4
,,,,,,,,,,,RP,Martin Perez (43197642),Martin Perez,43197642,P,7300,TOR@ATL 06/02/2026 07:15PM ET,ATL,12.17
,,,,,,,,,,,SP,JR Ritchie (43197643),JR Ritchie,43197643,P,7300,TOR@ATL 06/02/2026 07:15PM ET,ATL,10.23
,,,,,,,,,,,RP,Reynaldo Lopez (43197644),Reynaldo Lopez,43197644,P,7300,TOR@ATL 06/02/2026 07:15PM ET,ATL,7.28
,,,,,,,,,,,SP,Noah Cameron (43197052),Noah Cameron,43197052,P,7300,KC@CIN 06/02/2026 07:10PM ET,KC,12.41
,,,,,,,,,,,SP,Nick Lodolo (43197641),Nick Lodolo,43197641,P,7300,KC@CIN 06/02/2026 07:10PM ET,CIN,11.29
,,,,,,,,,,,SP,Brady Singer (43197645),Brady Singer,43197645,P,7300,KC@CIN 06/02/2026 07:10PM ET,CIN,6.49
,,,,,,,,,,,SP,Sean Burke (43197655),Sean Burke,43197655,P,7200,CWS@MIN 06/02/2026 07:40PM ET,CWS,14.47
,,,,,,,,,,,SP,Noah Schultz (43197656),Noah Schultz,43197656,P,7200,CWS@MIN 06/02/2026 07:40PM ET,CWS,9.68
,,,,,,,,,,,RP,Shane Smith (43197657),Shane Smith,43197657,P,7200,CWS@MIN 06/02/2026 07:40PM ET,CWS,2.52
,,,,,,,,,,,RP,Anthony Kay (43197658),Anthony Kay,43197658,P,7200,CWS@MIN 06/02/2026 07:40PM ET,CWS,10.92
,,,,,,,,,,,SP,Mike Burrows (43197053),Mike Burrows,43197053,P,7200,PIT@HOU 06/02/2026 08:10PM ET,HOU,11.77
,,,,,,,,,,,RP,Jason Alexander (43197649),Jason Alexander,43197649,P,7200,PIT@HOU 06/02/2026 08:10PM ET,HOU,4.31
,,,,,,,,,,,RP,Kai-Wei Teng (43197650),Kai-Wei Teng,43197650,P,7200,PIT@HOU 06/02/2026 08:10PM ET,HOU,7.76
,,,,,,,,,,,SP,Brandon Walter (43197651),Brandon Walter,43197651,P,7200,PIT@HOU 06/02/2026 08:10PM ET,HOU,0
,,,,,,,,,,,SP,Lance McCullers Jr. (43197652),Lance McCullers Jr.,43197652,P,7200,PIT@HOU 06/02/2026 08:10PM ET,HOU,10.74
,,,,,,,,,,,SP,Mitch Keller (43197654),Mitch Keller,43197654,P,7200,PIT@HOU 06/02/2026 08:10PM ET,PIT,13.33
,,,,,,,,,,,RP,Jake Woodford (43197646),Jake Woodford,43197646,P,7200,SF@MIL 06/02/2026 07:40PM ET,MIL,2.62
,,,,,,,,,,,RP,Shane Drohan (43197647),Shane Drohan,43197647,P,7200,SF@MIL 06/02/2026 07:40PM ET,MIL,8.58
,,,,,,,,,,,SP,Coleman Crow (43197648),Coleman Crow,43197648,P,7200,SF@MIL 06/02/2026 07:40PM ET,MIL,9.75
,,,,,,,,,,,SP,Quinn Priester (43197653),Quinn Priester,43197653,P,7200,SF@MIL 06/02/2026 07:40PM ET,MIL,0
